"address","name","balance","spendable","excludableBalance","chain"
0x46afdb83867809b1a414fc70cee9dd283f77ffda,,33333.34,13161.0385911113,,mainnet
0xc0819e1e01204bcb9cb5a0a3be826afedad6edef,,1000000,0,,mainnet
0xa47e793fb722eddcb2dc0bee50be9fc2a14adf86,,20000,0,,mainnet
0x4476d23d376c6a47a1f97ba9d8b8bacc59cc5e3f,,3054059.832960021,662959.3419809534,,mainnet
0x00bc6daf8656ec743389175eb1a574dd01eea623,,13608.043188736683,13608.043188736683,,mainnet
0xc42c4289358e60433e2c4dcdfafc7eb80becec98,,0,0,,mainnet
0x4fde8ef66587851147ba29656071aac79c1ad68f,,99999.99999999999,0,,mainnet
0xc2db8b28740e75abc517b3ae78fab621b5fad7c9,,99999.99999999999,29471.337519025874,,mainnet
0xc53b59ab18a6e0025be269c0cde1fc7bdf3b02f3,,500000,26204.785059700356,,mainnet
0x22f5413c075ccd56d575a54763831c4c27a37bdb,,1001962.7456367367,85419.0143751906,,mainnet
0xa39040c8867577bfa844d5ddc4c797c4940b4e32,,666667,212261.92119940068,,mainnet
0x86a0b5ecec9abac9aa65673d27d87b42f24c951c,,0,0,,mainnet
0xba12222222228d8ba445958a75a0704d566bf2c8,,7.285384168245553,7.285384168245553,,mainnet
0x9f3ecfdce702514bf3df6f2dc3aa8a6937f5dd91,,0,0,,mainnet
0xe7f0e61a07d540f6ab3c3e81d87c6ed0f2c0244d,,0,0,,mainnet
0x92140f15ced778b5bc9ef2c6fcae8def8e294aa0,,49999.99999999999,0,,mainnet
0x13a4d58ccb2c55060a5f3812676558f20955e22b,,60000,0,,mainnet
0x8b405dbf2f30844b608b08dad20447a6955a6c6e,,49999.99999999999,0,,mainnet
0x2b1c5cca8f8ebd91f80f81cf936244fc63cd480b,,160000,0,,mainnet
0x1f8530385ca3fd8da57997d004306036e38cd59b,,0,0,,mainnet
0xaa4237995a8ddb6fc30c3c5bc4cb9c0c15ee7c4f,,199999.99999999997,0,,mainnet
0x4f20cb7a1d567a54350a18dacb0cc803aebb4483,,799999.9999999999,0,,mainnet
0xc649155b8fd3956afe46f788af4a38d10a00b908,,30028,0,,mainnet
0x383c94890bd1425af66424a990d48334d9c4fe76,,199960,0,,mainnet
0xf84d1bb3f378c9fc1075f6f569da27dd69ddf9c2,,199999.99999999997,0,,mainnet
0x19c49117a8167296caf5d23ab48e355ec1c8be8b,,49999.99999999999,0,,mainnet
0xe46abaf75cfbff815c0b7ffed6f02b0760ea27f1,,34682,2431.3673896499236,,mainnet
0xac05ac51e28e011a23df4d78fe4c37985b903423,,20000,0,,mainnet
0x22b6eb86dc704e34b4c729cfeab6caa4f57efee7,,49999.99999999999,0,,mainnet
0x31a2791dc7d9ffda9a78521290039817ad34df92,,2000000,0,,mainnet
